Motif_Identifier	GO_Term_Identifier	GOMo_Score	p-value	q-value
10	GO:0016670	2.551e-02	7.378e-04	1.620e-02
10	GO:0021877	2.558e-02	7.422e-04	1.626e-02
10	GO:0001944	2.572e-02	7.540e-04	1.648e-02
10	GO:0032432	2.581e-02	7.597e-04	1.657e-02
10	GO:0006366	2.583e-02	7.621e-04	1.659e-02
10	GO:0030041	2.586e-02	7.651e-04	1.662e-02
10	GO:0048538	2.595e-02	7.708e-04	1.671e-02
10	GO:0005975	2.633e-02	7.974e-04	1.725e-02
10	GO:0004842	2.657e-02	8.178e-04	1.765e-02
10	GO:0051954	2.660e-02	8.198e-04	1.766e-02
10	GO:0005575	2.673e-02	8.297e-04	1.783e-02
10	GO:0008287	2.692e-02	8.446e-04	1.811e-02
10	GO:0051246	2.701e-02	8.526e-04	1.824e-02
10	GO:0001702	2.702e-02	8.542e-04	1.824e-02
10	GO:0010721	2.715e-02	8.656e-04	1.844e-02
10	GO:0007223	2.718e-02	8.684e-04	1.844e-02
10	GO:0070887	2.719e-02	8.689e-04	1.844e-02
10	GO:0051094	2.726e-02	8.765e-04	1.856e-02
10	GO:0051438	2.731e-02	8.796e-04	1.859e-02
10	GO:0030324	2.744e-02	8.903e-04	1.878e-02
10	GO:0030135	2.787e-02	9.284e-04	1.954e-02
10	GO:0017111	2.797e-02	9.362e-04	1.966e-02
10	GO:0031975	2.804e-02	9.434e-04	1.976e-02
10	GO:0019717	2.808e-02	9.463e-04	1.976e-02
10	GO:0016462	2.809e-02	9.466e-04	1.976e-02
10	GO:0043488	2.832e-02	9.659e-04	2.012e-02
10	GO:0005759	2.848e-02	9.787e-04	2.031e-02
10	GO:0031980	2.848e-02	9.787e-04	2.031e-02
10	GO:0031967	2.858e-02	9.888e-04	2.047e-02
10	GO:0044432	2.866e-02	9.974e-04	2.061e-02
10	GO:0009303	2.871e-02	1.001e-03	2.062e-02
10	GO:0018076	2.874e-02	1.004e-03	2.062e-02
10	GO:0018394	2.874e-02	1.004e-03	2.062e-02
10	GO:0006596	2.886e-02	1.015e-03	2.081e-02
10	GO:0045665	2.898e-02	1.028e-03	2.103e-02
10	GO:0051340	2.928e-02	1.058e-03	2.160e-02
10	GO:0060393	2.931e-02	1.063e-03	2.165e-02
10	GO:0045634	2.943e-02	1.076e-03	2.183e-02
10	GO:0050932	2.943e-02	1.076e-03	2.183e-02
10	GO:0032328	2.947e-02	1.080e-03	2.187e-02
10	GO:0031966	2.958e-02	1.090e-03	2.204e-02
10	GO:0004714	2.963e-02	1.095e-03	2.209e-02
10	GO:0048041	2.970e-02	1.102e-03	2.214e-02
10	GO:0051766	2.972e-02	1.103e-03	2.214e-02
10	GO:0031331	2.973e-02	1.104e-03	2.214e-02
10	GO:0003674	2.990e-02	1.121e-03	2.243e-02
10	GO:0005793	2.992e-02	1.123e-03	2.244e-02
10	GO:0008080	2.995e-02	1.126e-03	2.244e-02
10	GO:0016791	3.002e-02	1.133e-03	2.254e-02
10	GO:0030902	3.018e-02	1.150e-03	2.283e-02
10	GO:0045182	3.020e-02	1.152e-03	2.283e-02
10	GO:0001947	3.027e-02	1.159e-03	2.290e-02
10	GO:0050790	3.029e-02	1.160e-03	2.290e-02
10	GO:0046324	3.039e-02	1.171e-03	2.306e-02
10	GO:0016818	3.041e-02	1.173e-03	2.306e-02
10	GO:0051436	3.047e-02	1.180e-03	2.316e-02
10	GO:0005813	3.053e-02	1.186e-03	2.320e-02
10	GO:0021516	3.053e-02	1.187e-03	2.320e-02
10	GO:0007440	3.080e-02	1.212e-03	2.365e-02
10	GO:0007169	3.094e-02	1.226e-03	2.387e-02
10	GO:0008565	3.099e-02	1.231e-03	2.393e-02
10	GO:0042552	3.104e-02	1.236e-03	2.399e-02
10	GO:0021515	3.139e-02	1.274e-03	2.467e-02
10	GO:0000118	3.154e-02	1.288e-03	2.490e-02
10	GO:0019901	3.159e-02	1.293e-03	2.494e-02
10	GO:0000226	3.163e-02	1.298e-03	2.499e-02
10	GO:0048562	3.168e-02	1.302e-03	2.502e-02
